title:Eleccion1, start timestamp:1649282178.571814, stop timestamp:1649282252.676100, headset type:EPOCPLUS, headset serial:4A2C0467, headset firmware:633, channels:67, sampling rate:eeg_128;mot_32, samples:9467      , version:2.1, 
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1649282178.728726,15.000000,0.000000,4239.871582,4264.487305,4236.153809,4255.000000,4241.666504,4254.487305,4231.410156,4253.461426,4260.384766,4261.025879,4220.897461,4228.461426,4235.897461,4241.666504,3270.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649282178.736452,16.000000,0.000000,4255.769043,4266.025879,4254.230957,4268.974121,4236.282227,4264.871582,4240.128418,4262.948730,4277.692383,4283.974121,4223.589844,4241.153809,4236.922852,4253.589844,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,4.000000,0.000000,0.463648,0.512146,-0.463379,0.554993,1.011734,-0.041993,0.055177,-26.617838,-96.153198,-0.598154
1649282178.744377,17.000000,0.000000,4249.615234,4241.794922,4245.128418,4250.512695,4237.051270,4257.179688,4220.769043,4235.384766,4256.794922,4279.871582,4217.563965,4234.358887,4213.205078,4250.769043,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649282178.752203,18.000000,0.000000,4240.641113,4247.948730,4235.000000,4243.333496,4224.358887,4245.384766,4202.948730,4217.948730,4221.410156,4263.717773,4222.436035,4231.794922,4200.000000,4243.717773,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649282178.760029,19.000000,0.000000,4236.922852,4281.666504,4235.384766,4267.692383,4255.769043,4247.563965,4211.794922,4227.948730,4231.922852,4259.743652,4220.512695,4231.153809,4219.487305,4235.897461,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649282178.767754,20.000000,0.000000,4231.025879,4265.512695,4230.384766,4261.153809,4289.230957,4251.410156,4219.871582,4232.051270,4251.922852,4267.820313,4201.153809,4217.692383,4222.436035,4224.871582,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,5.000000,0.000000,0.463542,0.512451,-0.463440,0.554749,1.001480,-0.023926,0.037110,-28.262760,-95.106430,1.345846
1649282178.775680,21.000000,0.000000,4226.794922,4237.307617,4226.153809,4236.922852,4261.410156,4250.512695,4222.820313,4227.563965,4235.769043,4265.384766,4199.871582,4215.000000,4202.307617,4220.641113,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649282178.783505,22.000000,0.000000,4239.743652,4256.410156,4239.615234,4256.025879,4235.128418,4250.512695,4238.974121,4237.051270,4231.666504,4256.282227,4223.974121,4232.563965,4205.897461,4235.641113,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649282178.791331,23.000000,0.000000,4254.487305,4265.897461,4250.769043,4268.846191,4255.641113,4250.769043,4248.589844,4252.820313,4263.077148,4271.666504,4231.666504,4240.128418,4227.692383,4246.794922,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649282178.799057,24.000000,0.000000,4243.717773,4251.025879,4238.589844,4245.256348,4255.897461,4249.230957,4244.743652,4246.153809,4262.307617,4295.512695,4215.769043,4231.922852,4240.384766,4236.153809,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,6.000000,0.000000,0.463474,0.512634,-0.463379,0.554688,1.003922,-0.035645,0.041993,-28.561836,-94.358742,0.299077
1649282178.806982,25.000000,0.000000,4228.589844,4257.436035,4226.922852,4246.282227,4225.769043,4248.974121,4246.538574,4233.846191,4233.846191,4292.051270,4211.410156,4227.820313,4235.256348,4228.589844,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649282178.814808,26.000000,0.000000,4238.461426,4255.769043,4232.820313,4265.000000,4221.794922,4248.589844,4245.897461,4238.077148,4240.897461,4274.358887,4218.846191,4228.333496,4210.128418,4236.153809,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649282178.822634,27.000000,0.000000,4248.461426,4238.205078,4238.077148,4250.256348,4246.025879,4248.589844,4242.179688,4237.692383,4252.948730,4272.948730,4218.461426,4228.461426,4199.487305,4236.410156,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649282178.830359,28.000000,0.000000,4242.436035,4242.051270,4238.205078,4231.025879,4268.205078,4251.794922,4240.128418,4230.000000,4245.128418,4285.000000,4216.794922,4232.563965,4228.333496,4232.436035,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,7.000000,0.000000,0.463190,0.513000,-0.463257,0.554688,0.995132,-0.039063,0.042481,-28.711376,-94.508278,0.149538
